id,lab1,lab2,lab3,lab4,lab5,lab6
999999,0,0,0,0,0,0
12345,0,0,0,0,0,0
21322321,0,10,4,10,10,10
21322314,0,7,7,10,0,10
21322121,7,10,0,10,7,10
21322326,0,10,4,10,10,10
21322318,7,10,7,10,10,10
21322226,10,10,10,10,10,10
21322306,10,10,7,10,10,10
21322123,10,10,7,10,10,10
21322311,10,10,10,10,10,10
21322122,10,10,10,10,10,10
21322120,10,10,10,10,10,10
21322229,10,10,10,10,10,10
21322118,0,10,7,10,10,10
21322315,10,6,10,10,10,10
21322233,10,10,10,10,10,10
21322119,10,10,7,10,10,10
21322215,10,10,7,10,10,10
21322125,10,10,10,10,10,10
21322224,7,5,0,10,10,10
21322130,10,10,10,10,10,10
21322328,10,10,10,10,10,10
21322225,0,0,0,10,4,10
21322212,10,10,10,10,10,10
21322126,10,10,10,10,10,10
21322230,10,10,4,10,10,10
21322128,10,6,7,10,10,10
21322214,10,10,10,10,10,10
21322106,10,10,10,10,10,10
21322218,10,10,4,10,10,10
21322223,10,10,10,10,10,10
21322129,10,10,10,10,10,10
21322105,10,10,10,10,10,10
21322217,10,10,10,10,10,10
21322116,10,6,7,10,10,10
21322302,0,4,4,10,10,10
21322206,10,10,10,10,10,10
21322324,10,10,10,10,10,10
21322307,4,5,10,10,10,10
21322210,10,10,10,10,10,10
21322204,10,10,0,10,10,10
21322222,10,10,10,10,10,10
21322208,10,10,10,10,10,10
21322209,10,10,0,10,10,10
21322325,10,6,10,10,10,10
21322317,10,10,0,10,10,10
21322131,7,6,0,10,10,10
21322220,10,10,7,10,10,10
21322312,10,10,10,10,10,10
21322110,10,10,10,10,10,10
21322117,10,8,7,10,10,10
21322219,10,10,10,10,10,10
21322330,10,10,10,10,10,10
21322329,10,10,10,10,10,10
21322114,7,6,0,10,10,10
21322103,10,10,7,10,10,10
21322127,10,10,7,10,10,10
21322308,0,9,0,10,10,10
21322232,0,0,0,0,0,0
21322109,10,10,7,10,10,10
21322316,0,0,0,0,0,0
21322320,0,0,0,10,10,10
21322124,7,3,0,10,10,10
21322107,10,10,10,10,10,10
21322313,10,10,10,10,10,10
21322111,10,10,7,10,10,10
21322332,10,7,7,10,10,10
21322333,10,5,7,10,10,10
21322216,10,10,7,10,10,10
21322132,10,0,7,10,10,10
21322331,7,0,7,10,10,10
21322205,10,10,10,10,10,10
21322112,7,5,7,10,10,10
21322231,7,10,7,10,10,10
21322104,10,10,10,10,10,10
21322301,10,7,4,10,10,10
21322134,10,10,10,10,10,10
21322108,10,10,10,10,10,10
21322213,0,0,0,0,0,0
21322203,7,5,0,10,7,10
21322303,0,6,7,10,10,10
21322207,0,10,0,10,10,10
21322102,10,10,10,10,10,10
21322305,10,10,10,10,10,0
21322221,0,0,0,10,10,10
21322115,10,7,10,10,10,10
21322327,10,6,7,10,10,10
21322323,7,10,10,10,10,0
21322304,4,0,0,10,10,10
21322101,7,6,7,10,10,10
21322202,10,10,10,10,10,10
21322201,7,6,7,10,10,10
21322310,0,0,0,10,10,10
21322228,7,5,7,10,7,10
